ts,open,high,low,close,volume
2026-07-14 09:15:00+05:30,325.55,326.8,324.1,324.85,41327
2026-07-14 09:16:00+05:30,324.95,325.75,324.65,325.65,34958
2026-07-14 09:17:00+05:30,325.55,325.75,324.25,325.75,27980
2026-07-14 09:18:00+05:30,325.75,326.05,325.15,325.2,26367
2026-07-14 09:19:00+05:30,325.45,325.6,324.75,325.25,17358
2026-07-14 09:20:00+05:30,325.15,326.0,324.9,325.95,16137
2026-07-14 09:21:00+05:30,325.65,325.85,324.65,325.1,28115
2026-07-14 09:22:00+05:30,325.15,325.85,324.6,325.15,18171
2026-07-14 09:23:00+05:30,324.95,325.2,324.25,324.9,11208
2026-07-14 09:24:00+05:30,324.7,324.9,324.55,324.9,10341
2026-07-14 09:25:00+05:30,324.85,324.9,324.3,324.5,7691
2026-07-14 09:26:00+05:30,324.25,325.2,324.2,325.0,11329
2026-07-14 09:27:00+05:30,324.7,325.1,324.05,324.65,31265
2026-07-14 09:28:00+05:30,324.25,324.6,324.1,324.3,13489
2026-07-14 09:29:00+05:30,324.2,324.55,324.15,324.3,1978
2026-07-14 09:30:00+05:30,324.5,324.75,324.05,324.7,9972
2026-07-14 09:31:00+05:30,324.55,326.7,324.0,326.15,82554
2026-07-14 09:32:00+05:30,326.35,326.45,325.2,326.1,16976
2026-07-14 09:33:00+05:30,326.1,327.35,326.0,327.0,33980
2026-07-14 09:34:00+05:30,327.0,327.0,326.5,326.8,18547
2026-07-14 09:35:00+05:30,326.8,326.8,326.0,326.25,4730
2026-07-14 09:36:00+05:30,326.0,326.4,325.55,325.95,11259
2026-07-14 09:37:00+05:30,326.1,326.2,325.45,325.8,12769
2026-07-14 09:38:00+05:30,325.5,326.0,325.4,326.0,6962
2026-07-14 09:39:00+05:30,325.95,326.2,325.55,325.55,3200
2026-07-14 09:40:00+05:30,325.55,325.55,324.7,324.75,10373
2026-07-14 09:41:00+05:30,324.65,325.25,324.25,325.05,39394
2026-07-14 09:42:00+05:30,324.85,325.0,324.2,324.35,6119
2026-07-14 09:43:00+05:30,324.25,324.85,324.1,324.4,15198
2026-07-14 09:44:00+05:30,324.3,325.0,324.15,324.75,5918
2026-07-14 09:45:00+05:30,325.05,326.0,325.0,325.5,5972
2026-07-14 09:46:00+05:30,325.65,325.65,325.1,325.1,5907
2026-07-14 09:47:00+05:30,325.35,325.4,325.0,325.05,2452
2026-07-14 09:48:00+05:30,325.3,325.3,324.7,324.7,1581
2026-07-14 09:49:00+05:30,324.7,324.95,324.55,324.55,967
2026-07-14 09:50:00+05:30,324.8,324.8,324.5,324.5,1065
2026-07-14 09:51:00+05:30,324.5,324.95,324.1,324.1,2424
2026-07-14 09:52:00+05:30,324.25,324.95,324.05,324.95,9336
2026-07-14 09:53:00+05:30,324.7,325.0,324.7,324.8,3124
2026-07-14 09:54:00+05:30,324.95,324.95,324.2,324.2,13158
2026-07-14 09:55:00+05:30,324.3,324.4,324.05,324.1,5506
2026-07-14 09:56:00+05:30,324.1,324.4,323.45,323.75,25858
2026-07-14 09:57:00+05:30,323.7,323.9,323.65,323.75,2024
2026-07-14 09:58:00+05:30,323.75,324.1,323.75,323.95,3025
2026-07-14 09:59:00+05:30,323.9,324.05,323.7,323.7,1798
2026-07-14 10:00:00+05:30,323.9,323.9,323.1,323.15,4837
2026-07-14 10:01:00+05:30,323.15,323.25,323.1,323.15,4866
2026-07-14 10:02:00+05:30,323.15,323.2,322.8,322.8,16855
2026-07-14 10:03:00+05:30,322.75,324.0,322.75,323.65,7958
2026-07-14 10:04:00+05:30,323.5,325.3,323.5,325.3,33380
2026-07-14 10:05:00+05:30,325.1,325.2,324.3,324.3,20191
2026-07-14 10:06:00+05:30,324.15,324.75,324.1,324.5,8735
