symbol,date,candles,missing_minutes,zero_volume_candles,duplicate_timestamps,impossible_ohlc
DIXON,2026-07-14,375,0,0,0,0
DIXON,2026-07-15,375,0,0,0,0
DIXON,2026-07-16,375,0,0,0,0
DIXON,2026-07-17,375,0,0,0,0
DIXON,2026-07-20,375,0,0,0,0
HDFCBANK,2026-07-14,375,0,0,0,0
HDFCBANK,2026-07-15,375,0,0,0,0
HDFCBANK,2026-07-16,375,0,0,0,0
HDFCBANK,2026-07-17,375,0,0,0,0
HDFCBANK,2026-07-20,375,0,0,0,0
MANAPPURAM,2026-07-14,375,0,0,0,0
MANAPPURAM,2026-07-15,375,0,0,0,0
MANAPPURAM,2026-07-16,375,0,0,0,0
MANAPPURAM,2026-07-17,375,0,0,0,0
MANAPPURAM,2026-07-20,375,0,0,0,0
RELIANCE,2026-07-14,375,0,0,0,0
RELIANCE,2026-07-15,375,0,0,0,0
RELIANCE,2026-07-16,375,0,0,0,0
RELIANCE,2026-07-17,375,0,0,0,0
RELIANCE,2026-07-20,375,0,0,0,0
TCS,2026-07-14,375,0,0,0,0
TCS,2026-07-15,375,0,0,0,0
TCS,2026-07-16,375,0,0,0,0
TCS,2026-07-17,375,0,0,0,0
TCS,2026-07-20,375,0,0,0,0
