symbol,date,rows,sum_1min_vol,daily_vol,gap_pct,poc_close,poc_uniform,poc_prorata
TCS,2026-07-20,24,2184939.0,2202693.0,0.806,2259.5,2259.5,2259.5
TCS,2026-07-17,24,5599202.0,5615138.0,0.284,2230.3999999999996,2232.2,2230.3999999999996
TCS,2026-07-16,24,5168309.0,5197595.0,0.563,2215.1000000000004,2213.7,2215.1000000000004
TCS,2026-07-15,24,5382660.0,5426489.0,0.808,2185.0,2185.0,2185.0
TCS,2026-07-14,24,9515133.0,9546290.0,0.326,2211.55,2203.1499999999996,2205.25
RELIANCE,2026-07-20,24,14099373.0,14305844.0,1.443,1332.4500000000003,1329.85,1329.85
RELIANCE,2026-07-17,24,18216653.0,18302218.0,0.468,1321.9,1320.6999999999998,1320.6999999999998
RELIANCE,2026-07-16,24,15543513.0,15631046.0,0.56,1305.4,1304.8,1303.6
RELIANCE,2026-07-15,24,9521156.0,9577965.0,0.593,1303.5499999999997,1302.85,1303.5499999999997
RELIANCE,2026-07-14,24,13430890.0,13511284.0,0.595,1298.4,1298.4,1297.6
HDFCBANK,2026-07-20,24,54603127.0,56061789.0,2.602,782.75,782.25,782.75
HDFCBANK,2026-07-17,24,17155972.0,17415322.0,1.489,816.25,817.75,818.25
HDFCBANK,2026-07-16,24,18028553.0,18698186.0,3.581,814.575,814.2250000000001,814.2250000000001
HDFCBANK,2026-07-15,24,21212260.0,21488739.0,1.287,815.9000000000001,817.9000000000001,817.9000000000001
HDFCBANK,2026-07-14,24,25164225.0,25605395.0,1.723,808.9749999999999,815.275,815.275
DIXON,2026-07-20,24,405854.0,407451.0,0.392,14445.0,14445.0,14509.0
DIXON,2026-07-17,24,667592.0,674412.0,1.011,14466.5,14466.5,14466.5
DIXON,2026-07-16,24,2248355.0,2267533.0,0.846,14613.5,14263.5,14263.5
DIXON,2026-07-15,24,441874.0,447702.0,1.302,13553.5,13560.5,13560.5
DIXON,2026-07-14,24,395758.0,396507.0,0.189,13255.0,13335.0,13335.0
MANAPPURAM,2026-07-20,24,5048561.0,5049814.0,0.025,330.625,330.625,330.275
MANAPPURAM,2026-07-17,24,2153694.0,2172582.0,0.869,320.65,322.04999999999995,320.65
MANAPPURAM,2026-07-16,24,3046920.0,3051861.0,0.162,325.9,326.29999999999995,326.1
MANAPPURAM,2026-07-15,24,1335787.0,1372071.0,2.644,329.75,333.65,329.75
MANAPPURAM,2026-07-14,24,2197599.0,2265971.0,3.017,326.125,324.625,324.625
